Time,Cd,Cl
6.03,3.18562333,-0.123153538
6.04,3.17827698,0.0595633243
6.05,3.17411673,0.239995963
6.06,3.17374455,0.412142249
6.07,3.17723652,0.569526877
6.08,3.18421413,0.706395804
6.09,3.19366338,0.818190269
6.1,3.20432943,0.900652221
6.11,3.21472759,0.951195137
6.12,3.22344684,0.968151328
6.13,3.22930862,0.951295822
6.14,3.23160279,0.901270436
6.15,3.22996077,0.820394891
6.16,3.22468781,0.711287276
6.17,3.21645645,0.577446972
6.18,3.20652368,0.423591006
6.19,3.19609498,0.254590077
6.2,3.18665713,0.076100964
6.21,3.17946019,-0.105916822
6.22,3.17536369,-0.285691307
6.23,3.17503722,-0.456680989
6.24,3.17849445,-0.612964842
6.25,3.18522719,-0.74905
6.26,3.1944614,-0.860001474
6.27,3.20484534,-0.942128774
6.28,3.21500626,-0.992446999
6.29,3.2235134,-1.00948239
6.3,3.2292439,-0.992824304
6.31,3.23133256,-0.943399779
6.32,3.22960821,-0.862834735
6.33,3.22423494,-0.753914386
6.34,3.21587032,-0.620292574
6.35,3.20574309,-0.466359557
6.36,3.19514782,-0.296969472
6.37,3.18554721,-0.117871152
6.38,3.17823968,0.0650721674
6.39,3.17417426,0.245445833
6.4,3.17395156,0.417237686
6.41,3.17755985,0.574235233
6.42,3.18459878,0.710595761
6.43,3.19412881,0.821491274
6.44,3.20485011,0.903232885
6.45,3.21521168,0.952682524
6.46,3.22387781,0.968678813
6.47,3.22962025,0.950852347
6.48,3.23179642,0.899849801
6.49,3.23002207,0.818043389
6.5,3.22467461,0.707968264
6.51,3.21636682,0.57348588
6.52,3.20636192,0.419069385
6.53,3.19594596,0.249679612
6.54,3.18656615,0.0710628254
6.55,3.17940967,-0.111290238
6.56,3.17540598,-0.29098863
6.57,3.17521583,-0.461605412
6.58,3.17871864,-0.617615727
6.59,3.18558823,-0.753042152
6.6,3.19489138,-0.863202603
6.61,3.20527991,-0.944519912
6.62,3.21544258,-0.993797629
6.63,3.2237945,-1.00990715
6.64,3.22950134,-0.992212287
6.65,3.23148751,-0.941889485
6.66,3.22963706,-0.860351702
6.67,3.22411777,-0.750605778
6.68,3.21571233,-0.616328641
6.69,3.20555482,-0.461805716
6.7,3.19494738,-0.291918436
6.71,3.18537731,-0.112547334
6.72,3.1781626,0.0704347614
6.73,3.17416318,0.250885498
6.74,3.17408559,0.42230516
6.75,3.17777661,0.578826412
6.76,3.18492962,0.714543482
6.77,3.19451697,0.824751032
6.78,3.20525831,0.905401434
6.79,3.21559401,0.954089922
6.8,3.22418087,0.969035005
6.81,3.22985715,0.950106043
6.82,3.23188897,0.898279887
6.83,3.22999627,0.81545633
6.84,3.22454546,0.704542483
6.85,3.21618707,0.569320689
6.86,3.20613585,0.414386589
6.87,3.19574497,0.244604857
6.88,3.18636015,0.065547967
6.89,3.179268,-0.116798326
6.9,3.17544176,-0.296112632
6.91,3.17529886,-0.466669394
6.92,3.17894785,-0.622038853
6.93,3.18590406,-0.756840242
6.94,3.19527534,-0.866142458
6.95,3.20566737,-0.946682254
6.96,3.21578294,-0.995111756
6.97,3.22415273,-1.01014665
6.98,3.22970428,-0.991461141
6.99,3.23157302,-0.940131917
7.0,3.22961507,-0.857725421
7.01,3.22400873,-0.747108145
7.02,3.21551027,-0.612197521
7.03,3.2053251,-0.457124412
7.04,3.19471379,-0.28690557
7.05,3.18516382,-0.107253537
7.06,3.17804156,0.0758023741
7.07,3.17414499,0.256120958
7.08,3.17417958,0.42728357
7.09,3.17802348,0.583136012
7.1,3.18522018,0.718302017
7.11,3.1948539,0.827730262
7.12,3.20564713,0.907401821
7.13,3.21592795,0.955236945
7.14,3.22445714,0.969162675
7.15,3.23003276,0.949222481
7.16,3.23198496,0.896389417
7.17,3.22994709,0.81270211
7.18,3.22439615,0.701025486
7.19,3.21593997,0.565202873
7.2,3.20588627,0.409754004
7.21,3.1955003,0.239472443
7.22,3.1861672,0.0602774268
7.23,3.17913394,-0.122107877
7.24,3.17538552,-0.301351687
7.25,3.17539766,-0.47153503
7.26,3.17914733,-0.626335593
7.27,3.18619092,-0.760471445
7.28,3.19561448,-0.869037236
7.29,3.20602167,-0.948636739
7.3,3.21610245,-0.996299792
7.31,3.22443355,-1.01027456
7.32,3.22986554,-0.990583339
7.33,3.23162578,-0.938299315
7.34,3.22951739,-0.854956462
7.35,3.22380095,-0.74365971
7.36,3.21529348,-0.608014856
7.37,3.20501154,-0.452334759
7.38,3.19444342,-0.281766855
7.39,3.18495191,-0.101972907
7.4,3.17789997,0.0811489122
7.41,3.17412685,0.261286946
7.42,3.1742774,0.432050832
7.43,3.17819646,0.587554246
7.44,3.18552259,0.721938414
7.45,3.19521178,0.830533713
7.46,3.20597006,0.909538339
7.47,3.21623801,0.95617953
7.48,3.2246981,0.969155833
7.49,3.2301851,0.948203713
7.5,3.23199868,0.894478507
7.51,3.22987469,0.8099127
7.52,3.22420857,0.697454284
7.53,3.2156826,0.560920149
7.54,3.20561037,0.404943512
7.55,3.19521271,0.234304327
7.56,3.18595924,0.0549898891
7.57,3.17900899,-0.127334265
7.58,3.17533188,-0.306644832
7.59,3.17551322,-0.476261523
7.6,3.17931232,-0.630685287
7.61,3.18646423,-0.764154442
7.62,3.19593898,-0.871937965
7.63,3.20635598,-0.950564939
7.64,3.21641288,-0.997216682
7.65,3.22464722,-1.01021236
7.66,3.23000387,-0.989652989
7.67,3.23166297,-0.936441375
7.68,3.22943063,-0.852119611
7.69,3.22359264,-0.740021078
7.7,3.21499953,-0.603726357
7.71,3.20471721,-0.44754798
7.72,3.19414877,-0.276617286
7.73,3.18474233,-0.0967129495
7.74,3.17779183,0.0863785639
7.75,3.17410094,0.266468209
7.76,3.17437828,0.436771339
7.77,3.17837514,0.591867682
7.78,3.1857887,0.725558347
7.79,3.19554164,0.83327842
7.8,3.20626468,0.911452386
7.81,3.21655964,0.957012282
7.82,3.22496143,0.969104636
7.83,3.23033135,0.947101172
7.84,3.23200068,0.892502937
7.85,3.2297735,0.807043186
7.86,3.22402832,0.693853232
7.87,3.21545964,0.556772118
7.88,3.20530776,0.40019708
7.89,3.19493249,0.229194484
7.9,3.18572897,0.0495967446
7.91,3.17887275,-0.132634851
7.92,3.17528591,-0.311791514
7.93,3.17552352,-0.481123064
7.94,3.179479,-0.634875068
7.95,3.18672333,-0.767625941
7.96,3.19620642,-0.87480839
7.97,3.20666727,-0.952453259
7.98,3.21668609,-0.998044846
7.99,3.22488611,-1.01003968
8.0,3.23015026,-0.98859974
