Time          ,Rotational Speed (units),Cd,Cl
5.31,3.5267,0.717068726,-0.137318599
5.32,5.7063,0.704387115,0.038361145
5.33,5.7063,0.717057158,0.189253777
5.34,3.5267,0.736415825,0.259872432
5.35,0,0.700814918,0.253325691
5.36,3.5267,0.663257651,0.104642391
5.37,5.7063,0.692173982,-0.116088744
5.38,5.7063,0.754784077,-0.254995059
5.39,3.5267,0.784439948,-0.289669959
5.4,0,0.751939965,-0.263710174
5.41,3.5267,0.717068634,-0.137318613
5.42,5.7063,0.704387067,0.038361028
5.43,5.7063,0.717057024,0.189254024
5.44,3.5267,0.736415694,0.259872897
5.45,0,0.700814749,0.253326218
5.46,3.5267,0.663257474,0.104642888
5.47,5.7063,0.692173896,-0.116088211
5.48,5.7063,0.754784058,-0.254994501
5.49,3.5267,0.784439997,-0.289669321
5.5,0,0.75194002,-0.263709536
5.51,3.5267,0.717068684,-0.137317986
5.52,5.7063,0.704387,0.038361453
5.53,5.7063,0.717056907,0.189254318
5.54,3.5267,0.736415431,0.259873014
5.55,0,0.700814578,0.25332643
5.56,3.5267,0.66325734,0.104643095
5.57,5.7063,0.692173815,-0.116088155
5.58,5.7063,0.754783994,-0.254994499
5.59,3.5267,0.784439961,-0.289669389
5.6,0,0.751939932,-0.263709657
5.61,3.5267,0.717068596,-0.137318119
5.62,5.7063,0.704386901,0.038361396
5.63,5.7063,0.717056879,0.189254014
5.64,3.5267,0.736415395,0.259872546
5.65,0,0.700814578,0.253325977
5.66,3.5267,0.663257348,0.104642702
5.67,5.7063,0.692173768,-0.116088501
5.68,5.7063,0.754783895,-0.254994834
5.69,3.5267,0.784439809,-0.289669722
5.7,0,0.751939787,-0.263709973
5.71,3.5267,0.717068488,-0.137318425
5.72,5.7063,0.704386853,0.038361148
5.73,5.7063,0.717056841,0.189253879
5.74,3.5267,0.73641541,0.259872504
5.75,0,0.700814558,0.253325941
5.76,3.5267,0.663257314,0.104642683
5.77,5.7063,0.692173732,-0.116088422
5.78,5.7063,0.754783861,-0.254994716
5.79,3.5267,0.784439774,-0.289669536
5.8,0,0.751939777,-0.263709759
5.81,3.5267,0.717068494,-0.137318209
5.82,5.7063,0.704386834,0.038361263
5.83,5.7063,0.717056774,0.189254077
5.84,3.5267,0.736415299,0.259872722
5.85,0,0.700814461,0.253326203
5.86,3.5267,0.663257226,0.104642927
5.87,5.7063,0.692173692,-0.116088224
5.88,5.7063,0.75478385,-0.25499453
5.89,3.5267,0.784439796,-0.289669354
5.9,0,0.751939783,-0.263709596
5.91,3.5267,0.717068494,-0.137318055
5.92,5.7063,0.704386792,0.038361384
5.93,5.7063,0.717056742,0.189254071
5.94,3.5267,0.736415221,0.259872607
5.95,0,0.700814422,0.253326115
5.96,3.5267,0.663257201,0.104642855
